Title,Genre,DirectedBy,Starring,ProductionBy,FilmType,ReleaseYr,ReleaseMth,Season,RunningTime,Country,Budget,BoxOffice,Accolades,HomeMedia,Keyword
16 Blocks,Thriller,Richard Donner,unknown,unknown,Independent,2006,March,Spring,102, United States ,55000000,65700000,No,No,2000s|thriller|buddy|action
16-Love,Romance,unknown,unknown,unknown,Independent,2012,January,Winter,88, United States ,55000000,65700000,No,No,comedy|2010s|romantic|sports
17 Again (film),Romance,Burr Steers,unknown,unknown,Independent,2009,April,Spring,105, United States ,20000000,136300000,No,No,2000s|comedy|teen|romantic
19 (film),Drama,unknown,unknown,unknown,Independent,2001,July,Summer,83,Japan,6000000,2800000,No,No,japanese|drama|2001|2000s
1920 (film series),Horror,unknown,unknown,unknown,Independent,2008,September,Fall,119,India,52,87.57,No,No,hindi|indian|series|serieshorror
1920 (film),Horror,Vikram Bhatt,unknown,unknown,Independent,2008,September,Fall,138,India,7,14.5,No,No,hindi|horror|2008|indian
1920: The Evil Returns,Horror,Bhushan Patel,Aftab Shivdasani,unknown,Independent,2012,November,Fall,119,India,9,28.04,No,No,hindi|horror|2012|1920
1920: London,Horror,Tinu Suresh Desai,unknown,unknown,Independent,2016,May,Spring,117,India,21,22.67,No,No,hindi|horror|2016|indian
1922 (2017 film),Horror,Zak Hilditch,unknown,unknown,Independent,2017,September,Fall,101, United States ,21,22.67,No,No,set|2017|based|horror
Tunnel Rats (film),Action,Uwe Boll,Michael Paré,unknown,Independent,2008,May,Spring,96,GermanyCanada,8000000,35402,No,No,2000s|war|2008|action
1984 (1956 film),Drama,Michael Anderson,Edmond O'Brien,unknown,Independent,1956,March,Spring,90,United Kingdom,8000000,80073,No,No,british|fiction|drama|science
1990: The Bronx Warriors,Action,Enzo G. Castellari,Vic Morrow,unknown,Independent,1982,unknown,unknown,89,Italy,8000000,80073,No,No,italian|set|action|fiction
1991: The Year Punk Broke,Documentary,Dave Markey,unknown,unknown,Independent,1992,December,Winter,95, United States ,8000000,80073,No,No,documentary|1992|bandsonic|english
The One (2001 film),,James Wong,Jet Li,Revolution Studios,Independent,2001,November,Fall,87, United States ,49000000,72700000,No,Yes,arts|martial|2000s|fiction
One-Way Ticket to Mombasa,Drama,unknown,unknown,unknown,Independent,unkown,unknown,unknown,87,unknown,49000000,72700000,No,No,drama|finnish|2000s|2002
The Thirteenth Floor,,Josef Rusnak,Craig Bierko,unknown,Independent,1999,April,Spring,100, United States Germany,16000000,18500000,Yes,No,fiction|german|science|set
A Thousand Acres (film),Drama,Jocelyn Moorhouse,Michelle Pfeiffer,Touchstone Pictures,Hollywood,1997,September,Fall,105, United States ,16000000,7900000,Yes,No,based|1997|drama|pictures
A Thousand Clowns,Drama,Fred Coe,unknown,unknown,Independent,1965,December,Winter,116, United States ,1000000,2400000,Yes,No,new|york|city|comedy|drama
A Thousand Words (film),Drama,Brian Robbins,Eddie Murphy,unknown,Independent,2012,March,Spring,91, United States ,40000000,22000000,Yes,No,comedy|drama|pictures|2010s|2012
Twelve (2010 film),Drama,Joel Schumacher,Chace Crawford,Gaumont,Independent,2010,January,Winter,94, United States France,5000000,2648195,No,Yes,drama|crime|action|french
2 Days in New York,Drama,Julie Delpy,Chris Rock,Protozoa Pictures,Independent,2012,March,Spring,96,BelgiumFranceGermany,5000000,1653792,No,No,comedy|drama|french|romantic|julie
2 Days in Paris,Comedy,Julie Delpy,Adam Goldberg,unknown,Independent,2007,May,Spring,101,FranceGermany,1800000,19700000,Yes,No,french|comedy|german|independent
2 Days in the Valley,Crime,John Herzfeld,Danny Aiello,unknown,Independent,1996,September,Fall,105, United States ,1800000,11132900,No,No,comedy|crime|1990s|1996
Two Family House,Drama,Raymond De Felitta,unknown,unknown,Independent,2000,October,Fall,104, United States ,1800000,1020695,No,No,drama|romantic|2000|2000s
2 Fast 2 Furious,Thriller,John Singleton,Paul Walker,Original Film,Independent,2003,June,Summer,108, United States Germany,76000000,236300000,Yes,No,2000s|thriller|2003|action
